순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종번호,업종명,업종분류,전화번호,팩스번호,남종업원,여종업원,외국인(남),외국인(여),종업원수,생산품,용지면적,제조시설면적,부대시설면적,건축면적
328,진주상평일반산업단지,재성직물,경상남도 진주시 공단로 201 (상평동),경상남도 진주시 상평동 55-18번지,"13219, ",특수 직물 및 기타 직물 직조업,"섬유, 의복",055-753-8955,055-753-8966,1,3,0,0,4,노방,624,216.95,278.92,495.87
329,진주상평일반산업단지,재헌공업,경상남도 진주시 돗골로70번길 7 (상평동),경상남도 진주시 상평동 200-29,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",공람,공람,1,0,1,1,3,농기계부품,208.83,130,34.63,164.63
330,진주상평일반산업단지,전진공업사,경상남도 진주시 남강로1317번길 12 (상대동) 외 1필지,경상남도 진주시 상대동 33-181번지 외 1필지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-755-8506,055-755-8576,1,2,0,0,3,농기계부품,1735,1170,210.02,1380.02
331,진주상평일반산업단지,정광공업사,경상남도 진주시 동진로311번길 15 (상대동),경상남도 진주시 상대동 33-20번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-752-9398,055-757-2130,5,1,0,0,6,농기계부품,502,249.5,0,249.5
332,진주상평일반산업단지,정원공업사,경상남도 진주시 남강로1367번길 31 (상대동),경상남도 진주시 상대동 33-142번지,"29210, 30391, 30392, 30399, 30400",농업 및 임업용 기계 제조업 외 4 종,"금속가공, 기계",055-755-2066,055-753-9612,4,3,0,0,7,"농기계, 자동차부품",861,563.5,52.06,615.56
333,진주상평일반산업단지,정은공업사,경상남도 진주시 대신로159번길 20 (상평동),경상남도 진주시 상평동 195-12번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-759-2326,055-754-1080,1,1,0,0,2,농기계부품,165,155,100,255
334,진주상평일반산업단지,정현정밀,경상남도 진주시 대신로208번길 20 (상대동),경상남도 진주시 상대동 312-17번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-759-2279,055-762-4933,2,3,0,0,5,"농기계부품,금형",826.4,459,35,494
335,진주상평일반산업단지,정화테크,경상남도 진주시 공단로259번길 17 (상평동),경상남도 진주시 상평동 55-64번지,"31322, ",항공기용 부품 제조업,"자동차, 운송장비",055-752-3225,055-752-3215,2,1,0,0,3,항공기 기체부품,0,247,0,247
336,진주상평일반산업단지,제우기계,경상남도 진주시 공단로187번길 18 (상평동),경상남도 진주시 상평동 55-100번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-762-3719,055-761-9678,2,1,0,0,3,농기계부품,704,388.5,49.5,438
337,진주상평일반산업단지,제이앤항공 주식회사,경상남도 진주시 남강로1385번길 17 (상대동),경상남도 진주시 상대동 33-8번지,"29241, 30391, 30392, 30399, 30400, 31322",건설 및 채광용 기계장비 제조업 외 5 종,"금속가공, 기계",055-762-9905,055-762-9907,9,3,11,0,23,"감속기, 완충기 등, 항공기부품",5591,2167.6,892.88,3060.48
338,진주상평일반산업단지,제일금속,경상남도 진주시 도동로87번길 4 (상평동),경상남도 진주시 상평동 55-3번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-755-1891,055-762-4540,17,1,2,0,20,"농기구부품(대동, 동양 농업기계부품)",2285,1125.57,252.92,1378.49
339,진주상평일반산업단지,제일수산냉장,경상남도 진주시 동진로311번길 24 (상대동),경상남도 진주시 상대동 33-27번지,"10213, ",수산동물 냉동품 제조업,음식료,055-757-0825,055-759-2503,2,1,0,0,3,"수산물냉동,냉장품",1072,723.81,203.44,927.25
340,진주상평일반산업단지,조선기공,경상남도 진주시 대신로208번길 13 (상대동),경상남도 진주시 상대동 313-21번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-761-0143,055-757-3474,2,3,0,0,5,자동차 부품,593.8,399.22,81.25,480.47
341,진주상평일반산업단지,조양기업,경상남도 진주시 공단로44번길 15 (상평동),경상남도 진주시 상평동 266-10번지,"13225, ",직물포대 제조업,"섬유, 의복",공람,공람,5,8,0,0,13,PP포대,1156,456.96,79.49,536.45
342,진주상평일반산업단지,조은테크,경상남도 진주시 솔밭로 28 (상평동),경상남도 진주시 상평동 225-16,"25924, 25112, 25113, 25119",절삭가공 및 유사처리업 외 3 종,"금속가공, 기계",055-756-1230,공람,1,1,0,0,2,"조선기자재, 빔소부재, 그레이팅",738.2,356.4,42,398.4
343,진주상평일반산업단지,주광공업,경상남도 진주시 솔밭로55번길 18 (상평동),경상남도 진주시 상평동 267-8번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-762-7498,055-762-7497,2,1,0,0,3,자동차및농기계부품,528.9,374,24.46,398.46
344,진주상평일반산업단지,주식회사 디에이치,경상남도 진주시 솔밭로43번길 23 (상평동),경상남도 진주시 상평동 235-13 번지,"26529, 26410, 26421, 26429, 28121, 28122, 28123, 28410, 28422, 28423, 28901, 28903",기타 음향기기 제조업 외 11 종,"전기, 전자",055-752-9911,055-753-5420,9,2,0,0,11,"방송기기,전광판전원부,카메라 제어모튤",1652.9,144,60,204
345,진주상평일반산업단지,주식회사 에스디에어로,"경상남도 진주시 솔밭로43번길 11, 주2동 (상평동)",경상남도 진주시 상평동 235-6 주2동,"31322, ",항공기용 부품 제조업,"자동차, 운송장비",공람,공람,5,1,0,0,6,항공기용 부품,1362.6,414.2,72.84,487.04
346,진주상평일반산업단지,주식회사 에스에이치중공업,경상남도 진주시 동진로 304 (상대동),경상남도 진주시 상대동 33-66,"25924, 29210",절삭가공 및 유사처리업 외 1 종,"금속가공, 기계",055-757-9300,055-747-3388,5,3,0,0,8,"목재파쇄기, 캐리어덤프, 무한궤도 등",1227.6,1227.6,0,1227.6
347,진주상평일반산업단지,주식회사 에코샵,경상남도 진주시 동진로312번길 8 (상대동),경상남도 진주시 상대동 33-67,"32019, 25112, 32029",소파 및 기타 내장가구 제조업 외 2 종,기타,070-7743-8143,공람,1,1,0,0,2,"소파, 의자, 파티션 외 내장가구",99,89,10,99
348,진주상평일반산업단지,주식회사 용진,경상남도 진주시 큰들로 27 (상평동),경상남도 진주시 상평동  234-13번지,"22223, 25111, 25112, 25113, 25114, 25119, 25994, 33910",플라스틱 창호 제조업 외 7 종,"석유화학, 플라스틱",055-757-1262,055-752-1252,14,5,0,0,19,"플라스틱창호,금속 샷시문",511.22,719.26,92.25,811.51
349,진주상평일반산업단지,주식회사 잇츠,경상남도 진주시 공단로 205 (상평동),경상남도 진주시 상평동 55-19,"28422, 25113, 25999, 28410, 28903",일반용 전기 조명장치 제조업 외 4 종,"전기, 전자",055-795-1497,02-6008-1487,5,5,0,0,10,"조명기구, 횡단보도 보행신호등, 가로등주, 조명타워, 도로표지병",2419,129.36,2064.64,2194
350,진주상평일반산업단지,주식회사 코튼88,경상남도 진주시 도동로 97(상대동),경상남도 진주시 상대동 33-139,"13222, ",자수제품 및 자수용재료 제조업,"섬유, 의복",ARS-1644-0639,공람,6,14,0,0,20,수건(타올) 자수제품,2608,1542.74,248.19,1790.93
351,진주상평일반산업단지,주식회사 호선재,경상남도 진주시 공단로 227(상평동),경상남도 진주시 상평동 55-27,"32029, ",기타 목재가구 제조업,기타,공람,055-754-6633,4,4,0,0,8,가구,3275,327.1,650,977.1
352,진주상평일반산업단지,주원테크,경상남도 진주시 대신로208번길 9 (상대동),경상남도 진주시 상대동 313-16번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",공람,공람,4,0,0,0,4,금형,0,159.09,0,159.09
353,진주상평일반산업단지,중앙금속(주),경상남도 진주시 동진로264번길 13 (상대동),경상남도 진주시 상대동 33-129번지,"25112, 29210",구조용 금속 판제품 및 공작물 제조업 외 1 종,"금속가공, 기계",055-757-2077,055-755-8230,15,6,0,0,21,"금속판제조, 농기구부품",1198,925.01,3.2,928.21
354,진주상평일반산업단지,지현정밀,경상남도 진주시 도동로87번길 7 (상평동),경상남도 진주시 상평동 55-109번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-761-2979,055-761-2979,2,2,3,1,8,자동차부품가공,928,425.3,262.2,687.5
355,진주상평일반산업단지,진공기계,경상남도 진주시 공단로 191 (상평동),경상남도 진주시 상평동 55-16번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-758-7493,055-758-7493,3,1,0,0,4,"기어, 예취기, 칼날(농업용기계제조)",198.3,198.3,0,198.3
356,진주상평일반산업단지,진광직물,경상남도 진주시 남강로1317번길 35-1 (상평동),경상남도 진주시 상평동 55-67번지,"13219, ",특수 직물 및 기타 직물 직조업,"섬유, 의복",055-755-4222,055-755-4221,1,2,0,0,3,견직물(한복지),1568,493.4,157.82,651.22
357,진주상평일반산업단지,진남기계,경상남도 진주시 큰들로161번길 17 (상평동),경상남도 진주시 상평동 157-3번지,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,"자동차, 운송장비",055-759-2320,055-759-2320,3,1,0,0,4,"자동차부품, 농기계부품",424.5,266,8.5,274.5
358,진주상평일반산업단지,진동직물,경상남도 진주시 남강로1317번길 21 (상평동),경상남도 진주시 상평동 55-30번지,"13219, ",특수 직물 및 기타 직물 직조업,"섬유, 의복",055-752-1648,055-752-1648,7,12,0,0,19,노방(견직물),1000,515.7,149.1,664.8
359,진주상평일반산업단지,진보기업,경상남도 진주시 공단로 254 (상평동),경상남도 진주시 상평동 55-37번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-755-7888,공람,3,0,0,0,3,"기어박스, 언더그릴, 주유파이프",1593,486,102.98,588.98
360,진주상평일반산업단지,진양,경상남도 진주시 큰들로 37 (상평동),경상남도 진주시 상평동 234-19번지,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업","금속가공, 기계",055-758-4489,공람,3,1,0,0,4,철재문(방화문),330.6,369.8,18.09,387.89
361,진주상평일반산업단지,진양산업공사,경상남도 진주시 돗골로58번길 14-1 (상평동),경상남도 진주시 상평동 202-17번지,"29199, 29176",그 외 기타 일반목적용 기계 제조업 외 1 종,"금속가공, 기계",055-757-7716,055-759-3266,4,1,0,0,5,"후드,닥트",1077.8,380.24,142.48,522.72
362,진주상평일반산업단지,진양화학(주),경상남도 진주시 공단로 255 (상평동),경상남도 진주시 상평동 55-54번지,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종,"석유화학, 플라스틱",055-755-5597,055-755-5595,22,4,0,0,26,스티로폼제조,3779,1433,321,1754
363,진주상평일반산업단지,진영정밀,경상남도 진주시 동진로311번길 11 (상대동),경상남도 진주시 상대동 33-156번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-758-6993,055-758-2708,1,3,0,0,4,자동차부품,0,250,65,315
364,진주상평일반산업단지,진우테크,경상남도 진주시 동진로311번길 11 (상대동),경상남도 진주시 상대동 33-156번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-763-1419,055-763-1429,5,1,0,0,6,"유니버셜조인트,핸들조인트",0,450,0,450
365,진주상평일반산업단지,진주문집,경상남도 진주시 동진로 315 (상대동),경상남도 진주시 상대동 33-43,"22223, ",플라스틱 창호 제조업,"석유화학, 플라스틱",055-755-0433,055-757-0433,5,1,0,0,6,플라스틱 샤시문제조,2607,3518,0,3518
366,진주상평일반산업단지,진주식품,경상남도 진주시 대신로196번길 12 (상평동),경상남도 진주시 상평동 153-14,"10211, ","수산동물 훈제, 조리 및 유사 조제식품 제조업",음식료,055-746-8947,055-747-4030,1,6,0,0,7,"쥐치포, 조미오징어 등",1652.9,161.58,1495.98,1657.56
367,진주상평일반산업단지,진주식품공업사,경상남도 진주시 솔밭로43번길 19 (상평동),경상남도 진주시 상평동 235-10번지,"10794, ",두부 및 유사식품 제조업,음식료,055-752-3904,055-752-8730,7,4,0,0,11,두부,1666.2,594.02,0,594.02
368,진주상평일반산업단지,진주원예농협 상평지점,"경상남도 진주시 큰들로 87 (상평동, 진주원예농협 상평지점)",경상남도 진주시 상평동  212-14번지,"22212, 22213",플라스틱 필름 제조업 외 1 종,"석유화학, 플라스틱",055-755-2425,055-755-2428,13,1,0,0,14,농업용필름,2439,1140,318.05,1458.05
369,진주상평일반산업단지,진주자동문절곡,경상남도 진주시 돗골로45번길 5 (상평동),경상남도 진주시 상평동 212-23번지,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업","금속가공, 기계",055-752-3373,055-752-5969,3,2,0,0,5,셔터및 관련제품,1062.8,419.07,150,569.07
370,진주상평일반산업단지,진주특종제지(주),경상남도 진주시 남강로1367번길 14 (상대동),경상남도 진주시 상대동 33-11번지,"17129, 17122, 17124, 17125",기타 종이 및 판지 제조업 외 3 종,"목재, 종이, 출판",055-752-6071,055-752-7852,34,4,4,0,42,"박엽포장화지,크라프트지, 백상지, 스테인리스 압연용 간지, 과일봉투지",12004,3055.47,2150.4,5205.87
371,진주상평일반산업단지,진주포장(주),경상남도 진주시 대신로196번길 8 (상평동),경상남도 진주시 상평동 153-11번지,"17211, 17212",골판지 제조업 외 1 종,"목재, 종이, 출판",055-752-5268,055-752-5946,19,7,0,0,26,골판지상자,3049.3,1802.36,0,1802.36
372,진주상평일반산업단지,진주화학,경상남도 진주시 도동로136번길 14 (상대동),경상남도 진주시 상대동 33-17번지,"22212, 22213",플라스틱 필름 제조업 외 1 종,"석유화학, 플라스틱",055-761-7318,055-761-7319,1,0,0,0,1,"플라스틱 필름,시트및 판제조엉",0,313.1,0,313.1
373,진주상평일반산업단지,진흥콘크리트(주),경상남도 진주시 남강로 1285 (상평동),경상남도 진주시 상평동 55-38번지,"23324, ","콘크리트 타일, 기와, 벽돌 및 블록 제조업",비금속,055-752-1777,055-758-4300,5,4,0,0,9,"벽돌, 블록 경계석",4050.4,357.02,247.47,604.49
374,진주상평일반산업단지,창앤미,"경상남도 진주시 동진로 290(상대동, 호림철강)",경상남도 진주시 상대동 33-87 호림철강,"13223, ",커튼 및 유사제품 제조업,"섬유, 의복",공람,070-8994-4730,1,1,0,0,2,커튼,450,330,120,450
375,진주상평일반산업단지,창우정공,경상남도 진주시 도동로136번길 14 (상대동),경상남도 진주시 상대동 33-17번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-752-1284,055-752-1285,4,0,1,0,5,농기계부품,992,313.1,14.57,327.67
376,진주상평일반산업단지,천룡정밀,"경상남도 진주시 남강로1385번길 17, 101동 1304호 (상대동)",경상남도 진주시 상대동 33-8 101동 1304호,"31322, ",항공기용 부품 제조업,"자동차, 운송장비",공람,055-762-9907,6,2,0,0,8,항공기 부품,705,600,30,630
377,진주상평일반산업단지,천마기계(주),경상남도 진주시 공단로 54 (상평동),경상남도 진주시 상평동 267-12번지,"25924, 22191, 22192, 24132, 24133, 25200, 25912, 25941, 25942, 25999, 27199, 29120, 29163, 29169, 29173, 29294, 30320, 30391, 30392, 30399, 30400, 31114, 31311, 31312, 31910",절삭가공 및 유사처리업 외 24 종,"금속가공, 기계",055-757-6345,055-757-6342,21,9,7,0,37,"유공압커플러,에어컨커플러, 플랜지,자동차부품 등",1833.8,1526.58,636.55,2163.13
378,진주상평일반산업단지,천보제강,경상남도 진주시 동진로 324(상대동),경상남도 진주시 상대동 33-73,"25112, ",구조용 금속 판제품 및 공작물 제조업,"금속가공, 기계",043-646-8200,공람,2,0,0,0,2,강판성형,0,576,0,576
379,진주상평일반산업단지,청우정밀,경상남도 진주시 큰들로65번길 7 (상평동),경상남도 진주시 상평동 225-2번지,"25924, 29120, 30399",절삭가공 및 유사처리업 외 2 종,"금속가공, 기계",055-759-3498,0303-3444-8822,3,1,0,0,4,"케이스 등, 유압,중장비부품, 자동차부품",562,223.92,12.15,236.07
380,진주상평일반산업단지,청우정밀,경상남도 진주시 대신로148번길 16 (상평동),경상남도 진주시 상평동 157-23,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-759-3498,0303-3444-8822,3,2,0,0,5,"자동차, 농기계, 중장비 부품 가공",899,446.83,256.89,703.72
381,진주상평일반산업단지,칠성공업,경상남도 진주시 도동로 75 (상평동),경상남도 진주시 상평동 55-15번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-755-7976,055-763-7009,3,1,0,0,4,"캠, 힌지",2457.3,986.44,16.56,1003
382,진주상평일반산업단지,케이피테크,경상남도 진주시 상대로120번길 13 (상대동),경상남도 진주시 상대동 33-158번지,"27216, ",산업처리공정 제어장비 제조업,"전기, 전자",055-762-7769,055-762-0220,2,1,0,0,3,"초음파 스케일제거기,유압부품,시험장비",1000,732,0,732
383,진주상평일반산업단지,태광씽크,경상남도 진주시 동진로312번길 20-6 (상대동),경상남도 진주시 상대동 33-95번지,"16291, ",목재 도구 및 주방용 나무제품 제조업,"목재, 종이, 출판",055-763-0400,055-758-2998,1,0,0,0,1,주방기구,747,492.34,294.66,787
384,진주상평일반산업단지,태광정밀,경상남도 진주시 대신로160번길 19 (상평동),경상남도 진주시 상평동 155-26번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-753-7881,055-753-7945,3,1,0,0,4,"볼트, 너트",736.4,138,0,138
385,진주상평일반산업단지,태림정밀,경상남도 진주시 솔밭로44번길 6 (상평동),경상남도 진주시 상평동 224-16번지,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-757-0760,055-757-0763,7,3,0,0,10,"기어,축",905.08,493.4,0,493.4
386,진주상평일반산업단지,태성공업,경상남도 진주시 대신로196번길 17 (상대동),경상남도 진주시 상대동 312-2번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-759-6450,055,6,2,1,0,9,농기계부품,1980,709.69,28.07,737.76
387,진주상평일반산업단지,태양정밀,경상남도 진주시 돗골로 42 (상평동),경상남도 진주시 상평동 203-25번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-762-2188,055-762-2605,2,2,4,0,8,자동차부품,0,330,0,330
388,진주상평일반산업단지,태원정밀,경상남도 진주시 솔밭로 39(상평동),경상남도 진주시 상평동 235-20,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",공람,055-752-9497,1,1,0,0,2,농기계부품,0,120,0,120
389,진주상평일반산업단지,태화기계,경상남도 진주시 솔밭로 29 (상평동),경상남도 진주시 상평동 234-1번지,"30331, 30400",자동차용 신품 동력전달장치 제조업 외 1 종,"자동차, 운송장비",055-757-1588,055-762-1589,2,3,0,0,5,자동차부품,641,375,33,408
390,진주상평일반산업단지,태화정밀,경상남도 진주시 상대로120번길 13 (상대동),경상남도 진주시 상대동 33-158,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-755-9830,055-755-9830,2,1,0,0,3,중장비부품,1002,293,0,293
391,진주상평일반산업단지,태화정밀,경상남도 진주시 동진로264번길 11 (상대동) 외 1필지,경상남도 진주시 상대동 33-125 외 1필지,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-752-9883,055-752-9887,12,3,0,0,15,기어샤프트(기어및 전등요소제조업),2280,1624.07,644.51,2268.58
392,진주상평일반산업단지,태흥공업사,경상남도 진주시 대신로160번길 13 (상평동),경상남도 진주시 상평동 155-11번지,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-758-0171,055-758-0171,1,0,0,0,1,"농기계,자동차부품",0,132,132,264
393,진주상평일반산업단지,태흥공업사,경상남도 진주시 동진로312번길 14 (상대동),경상남도 진주시 상대동 33-68번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-753-7370,055-762-7207,3,0,0,0,3,"농업용기계(브라켓, 레바 등)",827.5,391.561,24,415.561
394,진주상평일반산업단지,토비스유압(주),경상남도 진주시 도동로 134 (상대동),경상남도 진주시 상대동 33-15번지,"29120, 25200, 31114, 31322, 31910",유압기기 제조업 외 4 종,"금속가공, 기계",062-762-7983,055-762-7984,14,5,0,0,19,유압기기,3313,2090.07,811.9,2901.97
395,진주상평일반산업단지,파나스,경상남도 진주시 도동로 72 (상평동),경상남도 진주시 상평동 55-47번지,"32021, ",주방용 및 음식점용 목재가구 제조업,기타,055-759-0991,055-759-0992,2,1,0,0,3,"부엌가구, 맞춤가구",0,463.06,0,463.06
396,진주상평일반산업단지,풍전산업(주),경상남도 진주시 대신로184번길 12 (상평동),경상남도 진주시 상평동 154-9번지,"30331, 30400",자동차용 신품 동력전달장치 제조업 외 1 종,"자동차, 운송장비",055-758-5100,055-755-8558,5,3,0,0,8,자동차부품,1127,309,121.8,430.8
397,진주상평일반산업단지,하나기계,경상남도 진주시 남강로1367번길 23-14(상대동),경상남도 진주시 상대동 33-44,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-759-6531,055-753-6533,4,1,0,0,5,"자동차부품, 농기계부품",0,660,0,660
398,진주상평일반산업단지,하나제지,경상남도 진주시 공단로 100 (상평동),경상남도 진주시 상평동 215-9번지,"17129, 17122, 17125",기타 종이 및 판지 제조업 외 2 종,"목재, 종이, 출판",055-763-2177,055,8,2,0,0,10,화장지원지,2904.5,262.05,48.5,310.55
399,진주상평일반산업단지,하이트진로(주)진주공장,경상남도 진주시 도동로 40(상평동),경상남도 진주시 상평동 55-33,"11112, 10801, 10802",맥아 및 맥주 제조업 외 2 종,음식료,055-752-0704,055-758-1928,0,0,0,0,0,"맥아, 사료",25840,16206.63,3978.85,20185.48
400,진주상평일반산업단지,하이트진로산업(주)진주공장,경상남도 진주시 도동로 58 (상평동),경상남도 진주시 상평동 55-48번지,"23192, ",포장용 유리용기 제조업,비금속,055-752-0701,055-752-7771,74,9,0,0,83,"병유리(맥주병,소주병)",31340,5287.49,3627.71,8915.2
401,진주상평일반산업단지,학성실크,경상남도 진주시 동진로 298 (상대동),경상남도 진주시 상대동 33-117번지,"13219, ",특수 직물 및 기타 직물 직조업,"섬유, 의복",055-757-7408,055-757-7406,3,14,0,0,17,견및인조섬유,2357,1236.3,228.6,1464.9
402,진주상평일반산업단지,한국마그넷(주),경상남도 진주시 동진로 329 (상대동),경상남도 진주시 상대동 33-45번지,"30310, 30400",자동차 엔진용 신품 부품 제조업 외 1 종,"자동차, 운송장비",055-752-1396,055-753-1398,65,25,15,0,105,"자동차엔진부품(스테이터,HUB)",9938,4098,2530.43,6628.43
403,진주상평일반산업단지,한남기업,경상남도 진주시 남강로 1295 (상평동),경상남도 진주시 상평동 55-61번지,"30331, 29210, 30400",자동차용 신품 동력전달장치 제조업 외 2 종,"자동차, 운송장비",055-758-8670,055-758-8609,8,2,0,0,10,"자동차부품, 농기구부품",0,660,0,660
404,진주상평일반산업단지,한독기계(주),경상남도 진주시 공단로140번길 12 (상평동),경상남도 진주시 상평동 200-1번지,"29142, 30310, 30331, 30391, 30392, 30399, 30400",기어 및 동력전달장치 제조업 외 6 종,"금속가공, 기계",055-755-9706,055-758-5742,23,7,0,0,30,"샤프트, 볼죠인트, 케이싱,연접봉,엔진출력축",3452.8,2160.18,466.81,2626.99
405,진주상평일반산업단지,한림정공,경상남도 진주시 공단로187번길 9 (상평동),경상남도 진주시 상평동 154-15번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-761-1105,055-761-1106,4,0,1,0,5,"베어링커버,핀,축,기어(1차)",546.8,347.69,100,447.69
406,진주상평일반산업단지,한보엔지니어링,경상남도 진주시 솔밭로31번길 14 (상평동) 외 1필지,경상남도 진주시 상평동 235-7번지 외 1필지,"25999, 25995, 29222, 29224",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,"금속가공, 기계",055-752-9308,055-759-9451,7,3,1,0,11,농기계부품,2139.9,1341.25,8.64,1349.89
407,진주상평일반산업단지,한보엔지니어링 2공장,경상남도 진주시 솔밭로43번길 11 (상평동),경상남도 진주시 상평동 235-6번지,"29210, 25999, 29223",농업 및 임업용 기계 제조업 외 2 종,"금속가공, 기계",055-752-9308,055-759-9451,3,2,0,0,5,농기계부품 등,1031.96,647,0,647
408,진주상평일반산업단지,한샘테크,경상남도 진주시 동진로 289 (상대동),경상남도 진주시 상대동 33-23번지,"25122, 25112, 25123, 29175",금속탱크 및 저장용기 제조업 외 3 종,"금속가공, 기계",055-758-5395,055-758-5392,4,1,0,0,5,"스텐물탱크, 정수기",400,270,62.7,332.7
409,진주상평일반산업단지,한성창호유리산업,경상남도 진주시 도동로 83 (상평동),경상남도 진주시 상평동 55-13번지,"23112, 23119",안전유리 제조업 외 1 종,비금속,055-756-6245,055-762-5881,7,3,0,0,10,복층유리 등,3531,2297.44,120,2417.44
410,진주상평일반산업단지,한양직물공업사,경상남도 진주시 큰들로65번길 20 (상평동),경상남도 진주시 상평동 213-15번지,"13219, ",특수 직물 및 기타 직물 직조업,"섬유, 의복",055-758-8581,055-753-7838,1,3,0,0,4,견및 인조섬유,264.46,185,10,195
411,진주상평일반산업단지,한울피엔티,경상남도 진주시 대신로208번길 9 (상대동),경상남도 진주시 상대동 313-16,"31322, ",항공기용 부품 제조업,"자동차, 운송장비",공람,공람,2,1,0,0,3,항고기용 부품,401,318.78,0,318.78
412,진주상평일반산업단지,한일정밀,경상남도 진주시 돗골로57번길 7 (상평동),경상남도 진주시 상평동 213-17번지,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-753-8356,055-753-8343,7,1,0,0,8,농기계부품,796,290,6,296
413,진주상평일반산업단지,한중냉장,경상남도 진주시 솔밭로56번길 18 (상평동),경상남도 진주시 상평동 223-5,"10213, ",수산동물 냉동품 제조업,음식료,공람,055-753-4982,3,0,0,0,3,냉동수산동물,1357,424.96,737.71,1162.67
414,진주상평일반산업단지,현대L하우징,경상남도 진주시 동진로 280 (상대동),경상남도 진주시 상대동 33-57번지,"32021, 32019",주방용 및 음식점용 목재가구 제조업 외 1 종,기타,공람,공람,2,2,0,0,4,"주방 가구류,소파",0,695,1027.995,1722.995
415,진주상평일반산업단지,현대NC,경상남도 진주시 돗골로 51 (상평동),경상남도 진주시 상평동 213-1번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-752-6600,055-752-6600,1,1,0,0,2,자동차부품,0,115,0,115
416,진주상평일반산업단지,현대금속,경상남도 진주시 솔밭로56번길 9 (상평동),경상남도 진주시 상평동 222-5번지,"25922, ",도금업,"금속가공, 기계",055-753-9884,055-753-1610,7,1,1,0,9,도금,844,387.6,105,492.6
417,진주상평일반산업단지,현대산업,경상남도 진주시 동진로 326 (상대동),경상남도 진주시 상대동 33-141번지,"22223, ",플라스틱 창호 제조업,"석유화학, 플라스틱",055-758-1910,055-758-2827,3,1,0,0,4,하이샷시,2912,737.5,0,737.5
418,진주상평일반산업단지,현대산업2공장,경상남도 진주시 도동로 72 (상평동),경상남도 진주시 상평동 55-47번지,"22223, ",플라스틱 창호 제조업,"석유화학, 플라스틱",055-757-2800,055-758-5758,10,2,4,2,18,"건축용 PVC창호,도어",5796,2538.64,431.48,2970.12
419,진주상평일반산업단지,현대엔시(주),경상남도 진주시 돗골로 51 (상평동),경상남도 진주시 상평동 213-1번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-752-6600,055-752-6600,1,1,0,0,2,자동차엔진부품,1721.4,1462.1,27,1489.1
420,진주상평일반산업단지,현종공업사,경상남도 진주시 동진로335번길 24 (상대동),경상남도 진주시 상대동 33-109번지,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-757-7451,055-757-7451,4,0,0,0,4,기어및자동차부품,198,198,0,198
421,진주상평일반산업단지,현진정밀,경상남도 진주시 동진로264번길 15 (상대동) 외 1필지,경상남도 진주시 상대동 33-60번지 외 1필지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",공람,055-758-0057,3,2,0,0,5,"농기계,자동차 부품가공",861,470.34,8.64,478.98
